id,label,fl_0,fl_1,fl_2,fl_3,fl_4,fl_5,fl_6,fl_7,fl_8,fl_9,fl_10,fl_11,fs_0,fs_1,fo_0,fo_1
3712,-1,9,0,1,3,0,1,1,0,3,-1,0,0,10,0,0,1
3838,-1,0,0,3,1,0,0,1,2,1,1,2,0,1,0,0,1
3868,-1,0,0,2,3,0,0,3,4,1,1,4,0,0,0,0,1
3874,-1,1,0,3,1,0,0,1,2,0,1,2,0,0,0,0,1
3885,-1,0,0,1,2,0,6,2,3,0,1,3,0,0,0,0,1
3891,-1,0,0,2,1,0,0,2,2,0,0,2,0,0,0,0,1
3907,-1,2,0,2,1,2,7,4,4,0,0,4,0,0,0,0,1
3933,-1,6,0,4,1,1,0,2,2,8,0,0,0,4,0,0,1
3951,-1,0,10,0,11,16,0,0,0,0,0,0,0,2,0,0,0
3966,-1,6,0,4,1,2,0,0,2,4,2,0,0,1,0,0,1
3967,-1,3,0,3,1,0,0,0,2,3,2,0,0,1,0,0,1
3974,-1,10,0,6,1,0,0,0,3,3,3,1,0,1,0,1,1
4024,-1,5,0,4,1,0,0,0,3,1,3,3,0,6,0,1,1
4066,-1,0,0,1,2,0,0,0,4,0,4,4,0,0,0,0,1
4285,-1,1,0,2,1,0,0,0,1,0,1,1,0,3,0,0,1
4287,-1,1,0,2,1,2,0,0,1,0,1,1,0,4,0,0,1
4314,-1,1,0,1,1,0,0,0,1,0,1,1,0,3,0,0,1
4344,-1,0,11,0,11,15,1,0,0,0,0,0,0,3,1,0,0
4368,-1,0,0,2,5,1,0,0,15,1,15,15,0,3,2,0,0
4480,-1,2,0,2,1,3,0,0,1,2,1,0,0,12,0,0,0
4505,-1,0,0,7,11,2,1,0,0,2,0,0,0,4,0,0,0
4582,-1,2,5,0,26,8,0,0,25,2,25,12,0,3,3,0,0
4602,-1,2,0,0,2,3,0,0,3,2,3,1,0,6,2,0,0
4886,-1,7,1,1,6,4,0,12,8,25,-4,0,0,0,0,1,0
4944,-1,0,0,0,4,3,0,0,7,3,7,2,0,23,0,0,0
5279,-1,1,0,2,7,0,0,0,7,0,7,7,0,6,1,0,0
5471,-1,1,0,0,1,3,0,0,0,5,0,0,0,3,4,0,0
5844,-1,2,0,0,0,1,0,0,1,5,1,0,0,5,0,0,0
6810,-1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
6826,-1,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0
6959,-1,0,0,0,0,2,1,0,1,3,1,0,0,1,0,0,0
7164,-1,1,0,14,1,4,0,11,0,2,-11,0,0,5,0,0,0
7165,-1,0,0,5,1,2,1,1,0,0,-1,0,0,2,0,0,0
7317,-1,1,0,3,0,0,1,4,0,0,-4,0,0,0,0,0,0
7340,-1,1,1,2,1,3,3,0,0,1,0,0,0,2,0,0,0
7352,-1,1,2,3,9,13,9,19,2,11,-17,0,0,5,0,0,0
7643,-1,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,0
8124,-1,0,0,1,0,1,1,0,0,0,0,0,0,12,0,0,0
8370,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8953,-1,0,0,0,2,0,0,3,0,0,-3,0,0,4,0,0,0
9033,-1,0,0,0,1,0,0,0,0,1,0,0,0,96,0,0,0
9710,-1,0,0,0,1,2,0,0,0,0,0,0,0,6,0,0,0
9831,-1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0
9856,-1,2,0,0,2,1,0,0,1,0,1,1,0,4,0,0,0
9936,-1,0,0,0,2,4,0,0,2,0,2,2,0,6,0,0,0
10437,-1,5,0,1,4,26,0,0,1,2,1,0,0,6,0,0,0
10507,-1,3,0,0,4,26,0,0,2,0,2,2,0,9,0,0,0
10623,-1,0,0,0,5,4,0,0,7,0,7,7,0,6,0,0,0
10697,-1,9,0,1,0,1,0,0,0,3,0,0,0,7,0,1,0
10999,2,20,4,3,29,15,5,0,5,57,5,0,0,42,11,1,0
11003,-1,1,0,1,1,1,0,0,1,0,1,1,0,5,0,0,0
11044,-1,5,0,1,1,2,0,1,0,1,-1,0,0,9,1,1,0
11049,2,16,1,2,24,3,0,3,11,10,8,1,0,10,1,3,0
11051,2,21,1,8,24,2,0,4,10,10,6,1,0,10,1,2,0
11055,1,8,1,2,3,2,0,0,1,1,1,1,0,10,1,2,0
11058,-1,17,0,0,1,1,0,0,0,0,0,0,0,18,0,2,0
11059,2,20,1,2,17,2,0,6,7,7,1,1,0,18,1,3,0
11060,2,26,1,2,14,2,0,7,6,6,-1,1,0,18,1,3,0
11061,-1,20,0,0,1,1,0,0,0,0,0,0,0,18,0,3,0
11062,-1,28,1,1,18,3,0,0,8,8,8,1,0,18,1,3,0
11064,-1,20,0,0,1,1,0,0,0,0,0,0,0,18,0,3,0
11067,2,20,0,0,1,1,0,0,0,0,0,0,0,18,0,2,0
11072,-1,3,0,0,4,0,0,2,0,2,-2,0,0,11,0,0,0
11128,-1,1,0,0,1,0,0,0,0,0,0,0,0,22,1,0,0
11257,2,16,1,1,18,3,0,0,8,8,8,1,0,6,1,1,0
11264,2,8,1,2,17,2,0,6,7,7,1,1,0,6,1,1,0
11336,1,14,4,3,15,12,2,0,4,3,4,1,0,16,15,1,0
11340,1,15,4,3,15,12,2,0,4,2,4,2,0,16,15,1,0
11342,1,14,4,3,15,16,2,0,4,3,4,1,0,16,15,1,0
11394,-1,0,0,0,4,12,0,0,0,0,0,0,0,2,0,0,0
11404,-1,4,0,0,6,12,0,0,3,0,3,3,0,2,0,1,0
11558,-1,0,0,0,3,12,0,0,0,0,0,0,0,3,0,0,0
11569,-1,0,0,2,6,15,0,3,4,7,1,0,0,3,0,0,0
11719,-1,0,1,0,13,27,0,0,0,3,0,0,0,4,2,0,0
12120,-1,6,0,2,12,3,1,0,3,0,3,3,0,6,4,0,0
12189,2,10,7,7,6,1,0,0,4,8,4,0,0,1,2,1,0
12358,-1,8,4,2,13,11,2,5,3,5,-2,0,0,15,12,0,0
12592,-1,2,0,0,3,0,0,0,3,1,3,3,0,6,2,0,0
12748,-1,5,6,0,3,1,0,0,0,0,0,0,0,7,0,0,0
12761,-1,6,7,33,34,31,1,6,4,50,-2,0,0,26,0,0,0
12767,-1,6,7,33,34,31,1,6,4,50,-2,0,0,26,0,0,0
12790,-1,19,7,2,15,1,0,10,18,16,8,1,0,7,0,1,0
12793,-1,12,6,0,2,1,0,0,0,0,0,0,0,7,0,1,0
12811,-1,5,6,0,2,1,0,0,0,0,0,0,0,7,0,0,0
12883,-1,4,0,5,2,5,0,1,5,2,4,2,0,4,0,0,0
12946,-1,5,0,1,0,1,0,0,0,3,0,0,0,4,0,0,0
12954,-1,6,5,9,2,7,0,18,0,24,-18,0,0,1,1,1,0
12964,2,8,0,1,0,1,0,0,0,2,0,0,0,1,0,1,0
13006,-1,2,11,7,3,7,1,0,4,4,4,1,0,5,0,0,1
13010,2,2,7,13,6,7,3,0,4,12,4,0,0,5,0,0,1
13013,2,2,7,13,6,7,3,0,4,12,4,0,0,5,0,0,1
13018,2,3,7,11,6,7,1,0,8,10,8,0,0,7,0,0,1
13021,2,3,7,11,6,7,1,0,8,10,8,0,0,7,0,0,1
13025,-1,2,7,7,3,7,1,0,4,5,4,0,0,5,0,0,1
13028,-1,2,7,7,8,7,1,0,12,8,12,1,0,5,0,0,1
13029,-1,0,11,0,11,16,1,0,0,0,0,0,0,3,1,0,0
13033,-1,2,7,7,6,7,1,0,6,8,6,0,0,6,0,0,1
13035,-1,2,7,7,9,7,1,0,9,8,9,1,0,5,0,0,1
13040,-1,2,7,7,5,7,1,0,7,4,7,1,0,5,0,0,1
13046,-1,2,7,7,5,7,1,0,9,10,9,0,0,5,0,0,1
13054,-1,3,7,7,3,7,1,0,5,8,5,0,0,5,0,0,1
13057,1,3,7,7,3,10,1,0,5,8,5,0,0,5,0,0,1
13063,1,3,7,7,3,10,1,0,5,8,5,0,0,5,0,0,1
13151,-1,2,7,7,3,7,1,0,12,5,12,2,0,6,0,0,1
13248,-1,4,7,8,4,9,1,0,14,14,14,1,0,9,0,0,1
13253,-1,2,7,8,4,8,1,0,8,4,8,2,0,6,0,0,1
13304,-1,2,7,7,3,8,1,0,4,4,4,1,0,5,0,0,1
13308,1,4,7,11,11,8,2,0,7,10,7,0,0,5,0,0,1
13339,-1,2,7,7,3,13,1,0,9,4,9,2,0,9,0,0,1
13341,-1,2,7,7,3,13,1,0,5,15,5,0,0,5,0,0,1
13358,-1,2,7,7,3,10,1,0,5,10,5,0,0,5,0,0,1
13368,-1,2,7,7,3,7,1,0,4,5,4,0,0,5,0,0,1
13386,-1,2,8,7,3,7,1,0,4,12,4,0,0,6,0,0,1
13407,-1,2,7,7,3,16,1,0,8,28,8,0,0,8,0,0,1
13413,-1,2,7,7,3,10,1,0,5,11,5,0,0,5,0,0,1
13416,1,2,7,7,6,7,1,0,6,5,6,1,0,5,0,0,1
13436,-1,2,7,7,3,7,1,0,4,4,4,1,0,5,0,0,1
13455,-1,0,0,0,5,2,0,0,27,2,27,13,0,13,0,0,0
13514,-1,3,7,7,3,7,1,0,6,4,6,1,0,6,0,0,1
13533,-1,2,7,7,6,7,1,0,10,4,10,2,0,6,0,0,1
13543,-1,2,7,7,3,8,1,0,4,8,4,0,0,5,0,0,1
13546,1,6,9,8,3,5,0,1,1,2,0,0,0,10,0,2,0
13557,-1,2,7,7,3,8,1,0,5,8,5,0,0,5,0,0,1
13561,-1,2,7,7,3,7,1,0,4,5,4,0,0,5,0,0,1
13575,-1,2,7,7,3,9,1,0,4,8,4,0,0,5,0,0,1
13583,-1,2,7,7,3,15,1,0,5,11,5,0,0,5,0,0,1
13587,-1,2,7,7,3,7,1,0,7,7,7,1,0,5,0,0,1
13599,-1,0,0,0,4,0,0,0,22,0,22,22,0,2,0,0,1
13612,-1,2,2,5,19,14,1,3,73,45,70,1,0,56,0,0,2
13613,-1,0,0,0,5,0,0,0,5,6,5,0,0,15,0,0,1
13615,-1,2,14,7,3,7,1,0,8,5,8,1,0,5,0,0,1
13617,1,2,7,8,5,7,1,0,4,5,4,0,0,5,0,0,1
13624,-1,2,8,7,3,7,1,0,4,4,4,1,0,10,0,0,1
13631,-1,2,8,7,3,7,1,0,4,4,4,1,0,10,0,0,1
13679,-1,2,7,7,3,9,1,0,5,8,5,0,0,9,0,0,1
13684,-1,2,7,7,3,9,1,0,5,8,5,0,0,9,0,0,1
13694,-1,2,7,7,3,9,1,0,5,8,5,0,0,9,0,0,1
13695,-1,2,7,7,3,21,1,0,10,6,10,1,0,20,0,0,1
13702,-1,2,7,7,3,9,1,0,5,8,5,0,0,9,0,0,1
13739,-1,2,7,11,19,11,1,0,26,20,26,1,0,13,0,0,1
13752,-1,0,2,0,0,4,0,0,1,0,1,1,0,1,0,0,0
13773,-1,2,7,9,19,22,1,0,31,33,31,0,0,19,0,0,1
14012,-1,2,7,7,3,7,1,0,11,7,11,1,0,5,0,0,1
14014,-1,2,7,7,3,11,1,0,4,7,4,0,0,5,0,0,1
14021,-1,2,7,7,7,7,1,0,11,8,11,1,0,5,0,0,1
14044,-1,2,7,7,3,7,1,0,12,4,12,3,0,5,0,0,1
14059,-1,0,0,0,5,6,0,0,1,1,1,1,0,12,0,0,0
14068,-1,2,7,7,5,7,1,0,9,11,9,0,0,7,0,0,1
14071,-1,2,8,11,7,8,1,0,6,12,6,0,0,4,0,0,1
14081,-1,7,9,9,20,11,2,0,16,28,16,0,0,14,0,0,1
14083,1,3,8,16,18,12,2,0,19,36,19,0,0,22,0,0,1
14086,1,2,7,13,25,16,4,0,20,31,20,0,0,19,0,0,1
14089,-1,2,7,10,7,11,1,0,13,5,13,2,0,7,0,0,1
14100,-1,2,7,11,21,13,1,0,34,32,34,1,0,16,0,0,1
14107,-1,6,0,1,1,1,0,0,2,0,2,2,0,1,0,0,0
14120,1,2,7,8,5,7,2,0,4,4,4,1,0,5,0,0,1
14124,-1,2,7,7,3,7,1,0,6,6,6,1,0,4,0,0,1
14136,-1,7,15,38,13,36,3,51,136,30,85,4,0,105,0,0,1
14168,-1,2,7,9,4,8,1,0,9,5,9,1,0,5,0,0,1
14184,-1,2,7,7,4,7,1,0,4,4,4,1,0,5,0,0,1
14196,1,2,7,7,6,7,1,0,6,5,6,1,0,5,0,0,1
14198,-1,2,7,7,3,8,1,0,4,5,4,0,0,5,0,0,1
14200,-1,2,7,7,3,7,1,0,6,6,6,1,0,4,0,0,1
14206,1,3,7,8,5,13,1,0,7,20,7,0,0,8,0,0,1
14210,1,2,7,8,5,9,1,0,4,5,4,0,0,5,0,0,1
14214,1,2,7,8,5,7,1,0,4,5,4,0,0,5,0,0,1
14215,1,2,7,8,5,9,1,0,4,5,4,0,0,5,0,0,1
14218,1,2,7,8,5,7,1,0,4,5,4,0,0,5,0,0,1
14221,-1,2,7,7,3,7,1,0,5,5,5,1,0,5,0,0,1
14245,1,2,7,8,5,7,1,0,5,5,5,1,0,5,0,0,1
14246,-1,2,7,7,3,7,1,0,5,5,5,1,0,5,0,0,1
14247,-1,2,7,7,3,7,1,0,4,4,4,1,0,5,0,0,1
14249,-1,2,7,7,3,7,1,0,4,4,4,1,0,5,0,0,1
14252,-1,2,7,7,3,10,1,0,4,4,4,1,0,5,0,0,1
14253,1,2,7,8,5,7,1,0,5,5,5,1,0,5,0,0,1
14277,-1,6,7,7,3,7,1,0,4,15,4,0,0,5,0,0,1
14295,-1,2,7,7,7,11,1,0,7,7,7,1,0,5,0,0,1
14299,-1,2,7,7,9,7,1,0,13,4,13,3,0,6,0,0,1
14302,-1,3,8,7,6,7,1,0,4,4,4,1,0,5,0,0,1
14311,-1,2,7,9,12,8,1,0,16,6,16,2,0,5,0,0,1
14385,-1,2,7,15,12,8,2,0,7,8,7,0,0,5,0,0,1
14396,1,5,7,9,5,7,1,0,5,9,5,0,0,5,0,1,1
14399,1,5,7,9,5,7,1,0,5,9,5,0,0,5,0,1,1
14404,-1,2,8,7,3,7,1,0,4,4,4,1,0,5,0,0,1
14418,-1,2,7,10,7,8,2,0,4,9,4,0,0,4,0,0,1
14435,-1,2,7,7,3,7,1,0,4,4,4,1,0,5,0,0,1
14437,1,4,7,11,11,8,2,0,7,10,7,0,0,5,0,0,1
14446,-1,2,7,7,4,7,1,0,5,6,5,0,0,5,0,0,1
14452,-1,2,7,7,4,7,1,0,5,7,5,0,0,5,0,0,1
14479,-1,2,7,14,11,8,4,0,8,13,8,0,0,5,0,0,1
14518,-1,0,0,0,1,1,0,1,0,4,-1,0,0,1,0,0,0
14526,-1,2,7,7,3,7,1,0,6,4,6,1,0,5,0,0,1
14535,2,4,10,59,70,19,13,0,25,61,25,0,0,11,0,0,1
14556,-1,2,7,7,3,7,1,0,4,5,4,0,0,5,0,0,1
14568,-1,2,7,7,3,8,1,0,5,7,5,0,0,5,0,0,1
14573,-1,2,8,19,17,17,2,0,20,42,20,0,0,14,0,0,1
14576,2,2,7,33,42,11,8,0,12,44,12,0,0,15,0,0,1
14577,2,2,7,33,42,11,8,0,12,41,12,0,0,14,0,0,1
14580,2,4,8,25,29,11,4,0,19,43,19,0,0,19,0,0,1
14581,2,4,9,23,29,10,4,0,22,49,22,0,0,17,0,0,1
14588,2,4,9,15,25,20,8,0,27,44,27,0,0,18,0,0,1
14687,-1,1,1,2,1,7,0,0,1,0,1,1,0,0,0,0,0
15298,-1,2,0,0,9,2,0,0,32,0,32,32,0,3,0,0,0
15384,-1,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
15529,-1,0,1,2,2,8,2,0,2,1,2,2,0,7,3,0,0
15589,-1,1,64,1,24,20,0,1,109,3,108,36,0,19,2,0,0
15840,2,114,0,3,33,5,1,25,43,20,18,2,0,17,0,2,0
15843,2,62,0,2,24,6,0,23,36,17,13,2,0,13,0,1,0
17931,-1,5,1,1,5,1,0,0,0,0,0,0,0,1,0,0,0
18037,-1,7,1,1,6,2,0,0,1,1,1,1,0,1,0,0,0
18550,-1,3,0,1,2,2,0,0,0,0,0,0,0,4,0,0,0
18573,2,13,0,3,2,0,0,4,0,3,-4,0,0,4,0,1,0
18590,-1,1,0,7,1,4,0,0,0,7,0,0,0,16,0,0,1
18610,1,4,0,2,1,0,2,8,0,2,-8,0,0,4,0,1,0
18611,1,6,0,3,1,0,2,7,0,1,-7,0,0,4,0,1,0
18973,2,30,1,4,0,3,0,2,1,26,-1,0,1,1,2,1,0
19009,-1,1,0,0,0,2,0,0,4,1,4,4,0,1,0,0,0
19085,1,6,0,0,2,1,0,1,1,0,0,1,0,4,1,1,0
19087,1,6,0,0,1,2,0,2,0,1,-2,0,0,4,0,1,0
19101,1,4,0,0,2,1,0,0,1,1,1,1,0,4,1,1,0
19135,2,47,1,4,0,3,1,2,1,46,-1,0,1,1,1,1,0
19142,-1,4,0,0,0,1,0,0,1,10,1,0,0,1,3,1,0
19442,-1,1,0,0,0,2,0,0,4,1,4,4,0,1,0,0,0
19447,-1,1,0,0,0,2,0,0,4,1,4,4,0,1,0,0,0
19744,-1,1,1,0,0,3,0,0,3,7,3,0,0,1,1,0,0
20019,-1,2,0,0,0,1,0,2,0,0,-2,0,0,5,0,0,0
20040,-1,2,0,0,0,0,0,2,0,0,-2,0,0,5,0,0,0
20389,-1,0,0,5,0,1,0,0,0,0,0,0,0,10,4,0,0
21139,-1,4,0,0,3,4,0,0,0,1,0,0,0,16,1,0,0
21317,-1,2,0,0,6,0,0,0,0,0,0,0,0,8,2,0,0
21396,-1,2,0,0,2,1,0,0,0,0,0,0,0,9,1,0,0
21416,-1,0,1,5,5,1,1,0,3,0,3,3,0,4,0,0,0
21440,-1,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0
21446,-1,3,0,8,2,1,0,2,0,1,-2,0,0,9,1,0,0
21565,-1,1,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0
21645,-1,1,0,1,0,1,0,16,0,0,-16,0,0,6,0,0,0
21675,2,3,1,3,2,2,0,13,1,13,-12,0,0,5,1,1,0
21819,-1,1,0,0,2,1,0,0,0,0,0,0,0,6,0,0,0
21872,-1,1,0,1,3,2,1,0,1,0,1,1,0,6,0,0,0
21896,-1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
21918,2,8,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0
21921,2,8,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0
21926,2,7,0,0,2,2,0,0,1,0,1,1,0,5,0,1,0
21974,-1,0,2,0,0,1,0,0,0,1,0,0,0,2,1,0,0
22112,-1,15,2,0,4,2,0,0,2,3,2,0,0,10,1,1,0
22166,-1,0,0,1,1,2,0,0,1,0,1,1,0,2,0,0,0
22194,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
22497,-1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
22593,-1,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1
22606,-1,1,0,3,1,2,0,0,0,1,0,0,0,1,0,0,1
22794,-1,2,0,4,4,4,0,0,4,1,4,4,0,1,0,0,1
22800,-1,2,0,3,5,3,0,0,2,1,2,2,0,1,0,0,1
23008,-1,6,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
23010,-1,6,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
23018,1,11,0,1,8,0,1,0,6,1,6,6,0,15,2,2,0
23033,-1,0,11,0,12,16,2,0,1,2,1,0,0,3,1,0,0
23048,-1,7,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
23073,-1,11,0,2,4,0,0,0,6,16,6,0,0,1,0,0,1
23257,-1,2,0,2,2,3,1,2,4,28,2,0,0,8,0,0,1
23412,-1,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,1
23442,-1,0,0,1,1,0,0,0,0,4,0,0,0,2,0,0,1
23461,-1,0,1,4,1,3,0,0,0,3,0,0,0,2,0,0,1
23466,-1,0,11,1,14,17,2,0,1,3,1,0,0,4,2,0,0
23624,-1,2,11,0,11,15,0,0,2,1,2,2,0,3,1,0,0
23636,-1,0,11,0,11,16,3,0,0,0,0,0,0,3,1,0,0
23642,-1,0,11,0,11,15,5,0,0,1,0,0,0,3,1,0,0
23669,-1,1,11,1,13,15,0,1,0,1,-1,0,0,3,1,0,0
23690,-1,3,11,0,11,15,0,0,1,1,1,1,0,3,1,0,0
23711,-1,0,0,1,1,0,0,0,0,4,0,0,0,2,0,0,1
23807,-1,5,1,9,5,4,1,2,1,47,-1,0,0,2,0,0,1
23822,-1,1,0,2,1,0,0,0,0,4,0,0,0,4,0,0,1
23847,-1,0,11,2,11,15,0,0,0,1,0,0,0,4,1,0,0
23864,-1,0,11,1,11,15,2,0,6,1,6,6,0,4,1,0,0
23881,-1,0,10,0,11,16,0,0,0,0,0,0,0,2,0,0,0
23893,-1,3,0,3,13,5,2,3,2,33,-1,0,0,7,0,0,1
23903,-1,2,0,3,3,1,2,2,2,29,0,0,0,7,0,0,1
23959,-1,2,0,2,3,1,1,2,2,28,0,0,0,7,0,0,1
23962,-1,2,0,2,3,1,1,2,2,28,0,0,0,7,0,0,1
23966,-1,2,0,3,5,4,1,2,2,29,0,0,0,7,0,0,1
24006,-1,2,1,2,6,3,2,2,2,28,0,0,0,7,0,0,1
24105,1,7,0,4,3,1,1,2,2,28,0,0,0,7,0,1,1
24107,-1,2,0,2,4,1,1,2,2,31,0,0,0,8,0,0,1
24132,-1,2,0,2,3,1,1,2,2,28,0,0,0,11,0,0,1
