id,url,label
69,"http://www.admin.ox.ac.uk/councilsec/trusts/oudt/",-1
127,"http://blogs.some.ox.ac.uk/archive/category/college-events/",-1
128,"http://blogs.some.ox.ac.uk/archive/2014/06/",-1
135,"http://talks.ox.ac.uk/",-1
137,"http://talks.ox.ac.uk/document/Documentation",-1
144,"http://talks.ox.ac.uk/document/Getting%20Involved",-1
146,"http://talks.ox.ac.uk/index/talks/new",-1
194,"http://www.bodleian.ox.ac.uk/weston/finding-resources/catalogues",-1
251,"http://help.it.ox.ac.uk/service/nexus-exchange-service",-1
260,"http://courses.it.ox.ac.uk/",-1
308,"http://www.ox.ac.uk/students/welfare/health",-1
346,"http://www.club.ox.ac.uk/",-1
662,"https://www.alumni.ox.ac.uk/offers/university-rooms-oxford",-1
696,"http://www.exeter.ox.ac.uk/alumni/",-1
1349,"http://www.oxfordtoday.ox.ac.uk/features/speaking-out-africa",-1
1371,"http://www.ox.ac.uk/local-community/outreach-and-education/widening-participation",-1
1448,"http://www.spc.ox.ac.uk/study-here/visiting-students/course-options/english-literature",-1
1463,"http://www.spc.ox.ac.uk/study-here/undergraduate-study",-1
1495,"http://www.st-annes.ox.ac.uk/jcr",-1
1648,"http://www.alumni.ox.ac.uk/form/request-your-alumni-number",-1
1702,"http://www.geog.ox.ac.uk/graduate/apply/reflections.html",-1
1929,"http://www.tsu.ox.ac.uk/events/ht13_seminars/",2
1995,"https://www.ox.ac.uk/about/jobs/",-1
2028,"https://www.ox.ac.uk/about/jobs/secondments/",-1
2191,"http://alumni.oriel.ox.ac.uk/connect/",-1
2192,"http://alumni.oriel.ox.ac.uk/recognising-your-gift/",-1
2370,"http://alumni.oriel.ox.ac.uk/the-provosts-court/",-1
2381,"http://alumni.oriel.ox.ac.uk/oriel-news/",-1
2382,"http://alumni.oriel.ox.ac.uk/connect/alumni-benefits/",-1
2383,"http://alumni.oriel.ox.ac.uk/connect/alumni-interest-groups/",-1
2389,"http://alumni.oriel.ox.ac.uk/let-us-know-your-news/",-1
2391,"http://alumni.oriel.ox.ac.uk/next-industry-focus-health/",-1
2394,"http://alumni.oriel.ox.ac.uk/2015/02/",-1
2397,"http://alumni.oriel.ox.ac.uk/category/oriel-news/",-1
2430,"http://www.oriel.ox.ac.uk/content/open-days",-1
2433,"http://alumni.oriel.ox.ac.uk/contribute/leaving-a-gift/",-1
2434,"http://alumni.oriel.ox.ac.uk/contribute/giving-from-outside-the-uk/",-1
2448,"http://alumni.oriel.ox.ac.uk/connect/get-in-contact/",-1
2450,"http://alumni.oriel.ox.ac.uk/contribute/careers/",-1
2467,"https://www.alumniweb.ox.ac.uk/wadham/events/2015-engineers-reunion",-1
2534,"https://www.wolfson.ox.ac.uk/event/oclw-seminar-%E2%80%98-author-medical-imagination%E2%80%99",1
